"","gene","compound","tissue","estimate","n","fdr","mDataType","gene_seq_start","gene_seq_end","strand","chr","pvalue"
"52","ENSG00000004487","Panobinostat","Lung",0.434820693998993,NA,NA,"rna",23019443,23083689,"+","chr1",2.35637866e-08
"53","ENSG00000004487","Selumetinib","Lung",-0.331107984079653,NA,NA,"rna",23019443,23083689,"+","chr1",2.35637866e-08
"54","ENSG00000004487","Trametinib","Lung",-0.518053453699466,NA,NA,"rna",23019443,23083689,"+","chr1",2.35637866e-08
"55","ENSG00000004487","Vorinostat","Lung",0.389105938228854,NA,NA,"rna",23019443,23083689,"+","chr1",2.35637866e-08
"56","ENSG00000004777","Navitoclax","Lung",0.451754500540774,NA,NA,"rna",35774532,35788822,"+","chr19",2.35637866e-08
"57","ENSG00000004777","PD-0325901","Lung",-0.392405545110228,NA,NA,"rna",35774532,35788822,"+","chr19",9.4904443666e-06
"58","ENSG00000004777","Trametinib","Lung",-0.51972495098652,NA,NA,"rna",35774532,35788822,"+","chr19",2.35637866e-08
"59","ENSG00000004866","Crizotinib","Esophagus/Stomach",0.61475859315133,NA,NA,"rna",116953238,117230103,"+","chr7",0.0003944251486371
"60","ENSG00000004866","Cytarabine","Lymphoid",-0.414145036582814,NA,NA,"rna",116953238,117230103,"+","chr7",2.35637866e-08
"61","ENSG00000004866","Foretinib","Esophagus/Stomach",0.473543851756436,NA,NA,"rna",116953238,117230103,"+","chr7",1.178189359e-07
"62","ENSG00000005001","Gefitinib","Lung",0.32554728499018,NA,NA,"rna",2852730,2858170,"-","chr16",7.69686331276e-05
"63","ENSG00000005007","Navitoclax","Lung",0.389867649913657,NA,NA,"rna",18831938,18868236,"+","chr19",2.35637866e-08
"64","ENSG00000005189","Daporinad","Lung",0.43202701808697,NA,NA,"rna",20806429,20849668,"+","chr16",2.35637866e-08
"65","ENSG00000005189","Doxorubicin","Lung",-0.256680125217573,NA,NA,"rna",20806429,20849668,"+","chr16",0.0487149848965171
"66","ENSG00000005189","Erlotinib","Breast",-0.263566946430732,NA,NA,"rna",20806429,20849668,"+","chr16",0.0583792191184275
"67","ENSG00000005189","Navitoclax","Lung",0.475626895122106,NA,NA,"rna",20806429,20849668,"+","chr16",2.35637866e-08
"68","ENSG00000005189","Palbociclib","Lung",-0.2699690680704,NA,NA,"rna",20806429,20849668,"+","chr16",0.0387496996703906
"69","ENSG00000005189","Trametinib","Lung",-0.428320353660279,NA,NA,"rna",20806429,20849668,"+","chr16",2.35637866e-08
"70","ENSG00000005249","Trametinib","Lung",-0.42005870567398,NA,NA,"rna",107044705,107161811,"+","chr7",2.35637866e-08
"71","ENSG00000005379","Daporinad","Lung",0.376901235654001,NA,NA,"rna",58301228,58328795,"-","chr17",2.35637866e-08
"72","ENSG00000005379","Navitoclax","Lung",0.384342529618346,NA,NA,"rna",58301228,58328795,"-","chr17",2.35637866e-08
"73","ENSG00000005379","Olaparib","Lung",0.250517732269402,NA,NA,"rna",58301228,58328795,"-","chr17",0.0168995132144973
"74","ENSG00000005379","Panobinostat","Lung",0.324147703578156,NA,NA,"rna",58301228,58328795,"-","chr17",2.35637872e-08
"75","ENSG00000005700","Daporinad","Lung",-0.328214801102504,NA,NA,"rna",82169986,82247754,"-","chr6",0.0010159246670955
"76","ENSG00000005700","Navitoclax","Lung",-0.343597509269263,NA,NA,"rna",82169986,82247754,"-","chr6",0.0194107096043085
"77","ENSG00000005700","Trametinib","Lung",0.339356198745659,NA,NA,"rna",82169986,82247754,"-","chr6",0.0356809486487495
"78","ENSG00000005801","Dasatinib","Lung",-0.294404802936422,NA,NA,"rna",3339261,3379222,"-","chr11",1.07215231632e-05
"79","ENSG00000005801","Navitoclax","Lung",0.359584895380342,NA,NA,"rna",3339261,3379222,"-","chr11",2.35637866e-08
"80","ENSG00000005801","Olaparib","Lung",0.226992927872099,NA,NA,"rna",3339261,3379222,"-","chr11",0.116899959506678
"81","ENSG00000005801","Panobinostat","Lung",0.33311443877664,NA,NA,"rna",3339261,3379222,"-","chr11",0.0005717124428695
"82","ENSG00000005801","Topotecan","Lung",0.302329624688205,NA,NA,"rna",3339261,3379222,"-","chr11",0.0018606165931308
"83","ENSG00000005801","Venetoclax","Lung",0.354493926389173,NA,NA,"rna",3339261,3379222,"-","chr11",2.35637866e-08
"84","ENSG00000005801","Vorinostat","Lung",0.340670608175908,NA,NA,"rna",3339261,3379222,"-","chr11",2.35637866e-08
"85","ENSG00000005884","Crizotinib","Lymphoid",0.468165696890338,NA,NA,"rna",50055968,50090481,"+","chr17",9.67258332756e-05
"86","ENSG00000005884","Dabrafenib","Lung",0.241951888107918,NA,NA,"rna",50055968,50090481,"+","chr17",0.189670866625325
"87","ENSG00000005884","Daporinad","Lung",-0.496534102371901,NA,NA,"rna",50055968,50090481,"+","chr17",2.35637866e-08
"88","ENSG00000005884","Dasatinib","Lung",0.478642520932348,NA,NA,"rna",50055968,50090481,"+","chr17",2.35637866e-08
"89","ENSG00000005884","Navitoclax","Lung",-0.334318854247673,NA,NA,"rna",50055968,50090481,"+","chr17",2.52506123434e-05
"90","ENSG00000005884","Nvp-tae 684","Lymphoid",0.554736251521555,NA,NA,"rna",50055968,50090481,"+","chr17",2.35637866e-08
"91","ENSG00000005884","PD-0325901","Lung",0.423768793224302,NA,NA,"rna",50055968,50090481,"+","chr17",2.35637866e-08
"92","ENSG00000005884","Panobinostat","Lung",-0.437246461419677,NA,NA,"rna",50055968,50090481,"+","chr17",2.35637866e-08
"93","ENSG00000005884","Selumetinib","Lung",0.400007291454612,NA,NA,"rna",50055968,50090481,"+","chr17",2.05312361e-07
"94","ENSG00000005884","Trametinib","Lung",0.619315255793218,NA,NA,"rna",50055968,50090481,"+","chr17",2.35637866e-08
"95","ENSG00000005884","YK 4-279","Lung",-0.26426464286747,NA,NA,"rna",50055968,50090481,"+","chr17",0.0341334525220721
"96","ENSG00000005893","Daporinad","Lung",-0.418620534856066,NA,NA,"rna",120426148,120469365,"-","chrX",4.08563490084e-05
"97","ENSG00000005893","Navitoclax","Lung",-0.288599566248296,NA,NA,"rna",120426148,120469365,"-","chrX",0.0219772621031883
"98","ENSG00000005893","PD-0325901","Lung",0.217842464452165,NA,NA,"rna",120426148,120469365,"-","chrX",0.0470857827014694
"99","ENSG00000005893","Pictilisib","Lung",0.284082355192772,NA,NA,"rna",120426148,120469365,"-","chrX",2.35637866e-08
"100","ENSG00000006007","Daporinad","Lung",-0.25847674807412,NA,NA,"rna",19501693,19522123,"-","chr16",0.0057245165792001
"101","ENSG00000006007","Vorinostat","Lung",-0.132275357473744,NA,NA,"rna",19501693,19522123,"-","chr16",0.0025271926103963
"102","ENSG00000006025","Doxorubicin","Lymphoid",-0.301518686719526,NA,NA,"rna",47807372,47821834,"-","chr17",0.0363352205816765
"103","ENSG00000006062","Cytarabine","Lymphoid",-0.335152233787348,NA,NA,"rna",45263119,45317029,"-","chr17",1.178189359e-07
"104","ENSG00000006071","Dasatinib","Lung",-0.375072084930246,NA,NA,"rna",17392498,17476879,"-","chr11",2.35637866e-08
"105","ENSG00000006071","Navitoclax","Lung",0.439941113830782,NA,NA,"rna",17392498,17476879,"-","chr11",2.35637866e-08
"106","ENSG00000006282","Navitoclax","Lung",-0.313369014236217,NA,NA,"rna",50543058,50555852,"+","chr17",0.0121160010479094
"107","ENSG00000006282","Palbociclib","Lung",0.365260804544086,NA,NA,"rna",50543058,50555852,"+","chr17",0.0005144048359564
"108","ENSG00000006282","Tanespimycin","Lung",0.23508517784726,NA,NA,"rna",50543058,50555852,"+","chr17",0.106352295292245
"109","ENSG00000006282","Trametinib","Lung",0.382683212973409,NA,NA,"rna",50543058,50555852,"+","chr17",2.35637872e-08
"110","ENSG00000006327","Alisertib","Lung",-0.315958524773006,NA,NA,"rna",3018445,3022383,"+","chr16",4.08563490084e-05
"111","ENSG00000006327","Dabrafenib","Lung",0.235868273039889,NA,NA,"rna",3018445,3022383,"+","chr16",0.113822189434731
"112","ENSG00000006327","Daporinad","Lung",-0.502424720065525,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"113","ENSG00000006327","Dasatinib","Lung",0.514992837273003,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"114","ENSG00000006327","Doxorubicin","Lung",0.167828564805807,NA,NA,"rna",3018445,3022383,"+","chr16",0.117536686207433
"115","ENSG00000006327","Entinostat","Lung",-0.227083597958974,NA,NA,"rna",3018445,3022383,"+","chr16",0.121833019653166
"116","ENSG00000006327","Navitoclax","Lung",-0.416262452063023,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"117","ENSG00000006327","Nvp-tae 684","Lymphoid",0.52481155861325,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"118","ENSG00000006327","PD-0325901","Lung",0.428419137729936,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"119","ENSG00000006327","Palbociclib","Lung",0.255905507195828,NA,NA,"rna",3018445,3022383,"+","chr16",0.0752958652862217
"120","ENSG00000006327","Panobinostat","Lung",-0.466267542617158,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"121","ENSG00000006327","Saracatinib","Lung",0.252922885311466,NA,NA,"rna",3018445,3022383,"+","chr16",0.0608400951285241
"122","ENSG00000006327","Selumetinib","Lung",0.391960151762863,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"123","ENSG00000006327","Trametinib","Lung",0.601794060465526,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"124","ENSG00000006327","Vorinostat","Lung",-0.39640438737115,NA,NA,"rna",3018445,3022383,"+","chr16",2.35637866e-08
"125","ENSG00000006459","Panobinostat","Lung",0.325524917556198,NA,NA,"rna",140084746,140176983,"-","chr7",0.0010759467603115
"126","ENSG00000006459","Trametinib","Lung",-0.467365462023393,NA,NA,"rna",140084746,140176983,"-","chr7",2.35637866e-08
"127","ENSG00000006459","Vorinostat","Lung",0.347629100434628,NA,NA,"rna",140084746,140176983,"-","chr7",2.35637866e-08
"128","ENSG00000006468","Crizotinib","Lymphoid",0.448184716381072,NA,NA,"rna",13891229,13991425,"-","chr7",4.8667278131e-06
"129","ENSG00000006468","Nvp-tae 684","Lymphoid",0.48920248655219,NA,NA,"rna",13891229,13991425,"-","chr7",2.35637866e-08
"130","ENSG00000006530","Panobinostat","Lung",0.245889404720548,NA,NA,"rna",141551278,141655244,"+","chr7",0.0023933378217808
"131","ENSG00000006530","Vorinostat","Lung",0.382072232598581,NA,NA,"rna",141551278,141655244,"+","chr7",2.35637866e-08
"132","ENSG00000006534","Alisertib","Lung",-0.360452790013216,NA,NA,"rna",68008578,68029282,"+","chr11",2.35637866e-08
"133","ENSG00000006534","Navitoclax","Lung",-0.336353607621443,NA,NA,"rna",68008578,68029282,"+","chr11",0.0003577558604113
"134","ENSG00000006534","PD-0325901","Lung",0.37911000131431,NA,NA,"rna",68008578,68029282,"+","chr11",2.35637866e-08
"135","ENSG00000006534","Selumetinib","Lung",0.343147838164406,NA,NA,"rna",68008578,68029282,"+","chr11",2.35637866e-08
"136","ENSG00000006534","Trametinib","Lung",0.487636347744378,NA,NA,"rna",68008578,68029282,"+","chr11",2.35637866e-08
"137","ENSG00000006576","PD-0325901","Lung",-0.272330880432534,NA,NA,"rna",77798792,77957503,"+","chr7",5.184033178e-07
"138","ENSG00000006576","Trametinib","Lung",-0.373386810260387,NA,NA,"rna",77798792,77957503,"+","chr7",2.35637866e-08
"139","ENSG00000006611","Dasatinib","Lung",-0.324858303554848,NA,NA,"rna",17493895,17544416,"-","chr11",1.31721570291e-05
"140","ENSG00000006625","Panobinostat","Lung",0.360829782377382,NA,NA,"rna",30496621,30504841,"-","chr7",2.35637866e-08
"141","ENSG00000007062","Selumetinib","Skin",0.467566714846498,NA,NA,"rna",15963076,16084378,"-","chr4",2.35637866e-08
"142","ENSG00000007062","Trametinib","Lung",-0.396014335186634,NA,NA,"rna",15963076,16084378,"-","chr4",2.35637872e-08
"143","ENSG00000007174","Daporinad","Lung",0.281031005279295,NA,NA,"rna",11598470,11969748,"+","chr17",0.0022246350850407
"144","ENSG00000007384","Daporinad","Lung",-0.451263281719487,NA,NA,"rna",58059,76355,"-","chr16",2.35637866e-08
"145","ENSG00000007384","Dasatinib","Lung",0.343898196681644,NA,NA,"rna",58059,76355,"-","chr16",1.41382723e-07
"146","ENSG00000007384","Navitoclax","Lung",-0.424804926110704,NA,NA,"rna",58059,76355,"-","chr16",2.35637866e-08
"147","ENSG00000007384","Panobinostat","Lung",-0.321643403982955,NA,NA,"rna",58059,76355,"-","chr16",4.71275743e-08
"148","ENSG00000007384","Trametinib","Lung",0.465422710656034,NA,NA,"rna",58059,76355,"-","chr16",2.35637866e-08
"149","ENSG00000007384","Vorinostat","Lung",-0.422742451046976,NA,NA,"rna",58059,76355,"-","chr16",2.35637866e-08
"150","ENSG00000007392","Trametinib","Lung",-0.422149769612771,NA,NA,"rna",188969,229463,"-","chr16",2.35637872e-08
"151","ENSG00000007402","Bosutinib","Breast",-0.304914196716046,NA,NA,"rna",50362799,50504244,"-","chr3",0.170103030703512
"152","ENSG00000007402","Daporinad","Lung",0.481851856593311,NA,NA,"rna",50362799,50504244,"-","chr3",2.50434128e-08
"153","ENSG00000007402","Nvp-tae 684","Lymphoid",0.562611593059857,NA,NA,"rna",50362799,50504244,"-","chr3",2.35637866e-08
"154","ENSG00000007402","TPCA-1","Breast",-0.270944123600063,NA,NA,"rna",50362799,50504244,"-","chr3",0.174695512187191
"155","ENSG00000007866","Nvp-tae 684","Lymphoid",0.593028484485718,NA,NA,"rna",35473597,35497079,"-","chr6",2.35637866e-08
"156","ENSG00000007968","Daporinad","Lung",0.249535588081729,NA,NA,"rna",23506438,23531233,"-","chr1",0.044540882906756
"157","ENSG00000007968","Dasatinib","Lung",-0.34270397169557,NA,NA,"rna",23506438,23531233,"-","chr1",1.41382723e-07
"158","ENSG00000007968","Navitoclax","Lung",0.213655996541403,NA,NA,"rna",23506438,23531233,"-","chr1",0.00043967670484
"159","ENSG00000007968","Panobinostat","Lung",0.22730923659846,NA,NA,"rna",23506438,23531233,"-","chr1",0.0215028227075383
"160","ENSG00000007968","Trametinib","Lung",-0.278136549265342,NA,NA,"rna",23506438,23531233,"-","chr1",0.0046780512174651
"161","ENSG00000008056","Daporinad","Lung",0.489109515685609,NA,NA,"rna",47571901,47619857,"-","chrX",1.2503268e-09
"162","ENSG00000008056","Navitoclax","Lung",0.511345328299661,NA,NA,"rna",47571901,47619857,"-","chrX",4.85407458e-08
"163","ENSG00000008056","Palbociclib","Lung",-0.304183878517762,NA,NA,"rna",47571901,47619857,"-","chrX",0.0291038249248912
"164","ENSG00000008056","Trametinib","Lung",-0.474749252186393,NA,NA,"rna",47571901,47619857,"-","chrX",2.35637866e-08
"165","ENSG00000008056","Vorinostat","Lung",0.358119148215333,NA,NA,"rna",47571901,47619857,"-","chrX",2.35637866e-08
"166","ENSG00000008083","Alisertib","Lymphoid",0.399728638185885,NA,NA,"rna",15246069,15522042,"+","chr6",2.35637866e-08
"167","ENSG00000008083","Cytarabine","Lymphoid",0.476991389942588,NA,NA,"rna",15246069,15522042,"+","chr6",2.35637866e-08
"168","ENSG00000008083","Entinostat","Skin",0.314222532244683,NA,NA,"rna",15246069,15522042,"+","chr6",0.171154016173372
"169","ENSG00000008083","Foretinib","Lymphoid",0.475933582857003,NA,NA,"rna",15246069,15522042,"+","chr6",2.35637866e-08
"170","ENSG00000008083","Panobinostat","Lung",0.25676614061772,NA,NA,"rna",15246069,15522042,"+","chr6",0.0043411369434974
"171","ENSG00000008277","Daporinad","Lung",0.394124549518428,NA,NA,"rna",87934143,88202889,"+","chr7",2.35637866e-08
"172","ENSG00000008277","Navitoclax","Lung",0.433888824495248,NA,NA,"rna",87934143,88202889,"+","chr7",7.666195971e-07
"173","ENSG00000008277","PD-0325901","Lung",-0.364230661467777,NA,NA,"rna",87934143,88202889,"+","chr7",2.836098702e-07
"174","ENSG00000008277","Palbociclib","Lung",-0.367898619919482,NA,NA,"rna",87934143,88202889,"+","chr7",0.0012611523273166
"175","ENSG00000008277","Selumetinib","Lung",-0.29665516634301,NA,NA,"rna",87934143,88202889,"+","chr7",1.18242982792e-05
"176","ENSG00000008277","Tanespimycin","Lung",-0.262212186865037,NA,NA,"rna",87934143,88202889,"+","chr7",0.0059080487099914
"177","ENSG00000008277","Trametinib","Lung",-0.432107443047508,NA,NA,"rna",87934143,88202889,"+","chr7",4.57133365861e-05
"178","ENSG00000008282","Daporinad","Lung",-0.446681535963392,NA,NA,"rna",106090503,106112576,"-","chr7",2.35637866e-08
"179","ENSG00000008282","Trametinib","Lung",0.372385225557916,NA,NA,"rna",106090503,106112576,"-","chr7",1.178189359e-07
"180","ENSG00000008283","Nvp-tae 684","Lymphoid",0.529235971864362,NA,NA,"rna",63432304,63446354,"-","chr17",2.35637866e-08
"181","ENSG00000008517","Dasatinib","Lung",0.401751558980179,NA,NA,"rna",3065297,3082192,"+","chr16",2.35637866e-08
"182","ENSG00000008710","PD-0325901","Lung",-0.338608321332311,NA,NA,"rna",2088708,2135898,"-","chr16",9.6448756784e-06
"183","ENSG00000008735","Navitoclax","Lung",0.29909144949411,NA,NA,"rna",50600793,50613981,"+","chr22",2.120740845e-07
"184","ENSG00000008735","PD-0325901","Lung",-0.337241134257608,NA,NA,"rna",50600793,50613981,"+","chr22",4.08563490084e-05
"185","ENSG00000008735","Trametinib","Lung",-0.371866722138562,NA,NA,"rna",50600793,50613981,"+","chr22",2.35637866e-08
"186","ENSG00000009413","Daporinad","Lung",0.433317932681754,NA,NA,"rna",111299028,111483715,"-","chr6",2.35637866e-08
"187","ENSG00000009413","Navitoclax","Lung",0.387878461679654,NA,NA,"rna",111299028,111483715,"-","chr6",2.35637866e-08
"188","ENSG00000009413","Panobinostat","Lung",0.350387171987755,NA,NA,"rna",111299028,111483715,"-","chr6",2.35637866e-08
"189","ENSG00000009413","Trametinib","Lung",-0.469959748654648,NA,NA,"rna",111299028,111483715,"-","chr6",2.35637866e-08
"190","ENSG00000009724","Entinostat","Lung",0.117961266075586,NA,NA,"rna",11026523,11047239,"-","chr1",0.406536500965513
"191","ENSG00000009780","Panobinostat","Lung",0.197864893782422,NA,NA,"rna",27725979,27763122,"+","chr1",0.101807837298052
"192","ENSG00000010017","Sirolimus","Lymphoid",-0.0518619476277897,NA,NA,"rna",13621498,13711835,"-","chr6",0.913199606624405
"193","ENSG00000010278","Daporinad","Lung",-0.409292840072129,NA,NA,"rna",6199715,6238271,"+","chr12",2.35637866e-08
"194","ENSG00000010278","Trametinib","Lung",0.375955180939246,NA,NA,"rna",6199715,6238271,"+","chr12",2.35637872e-08
"195","ENSG00000010319","Linsitinib","Lymphoid",0.427227171458014,NA,NA,"rna",52433035,52445103,"-","chr3",2.35637866e-08
"196","ENSG00000010319","YK 4-279","Lung",0.21614603257226,NA,NA,"rna",52433035,52445103,"-","chr3",0.0701143326708062
"197","ENSG00000010361","Daporinad","Lung",0.428508850839614,NA,NA,"rna",49806866,49817376,"-","chr19",2.35637866e-08
"198","ENSG00000010361","Navitoclax","Lung",0.37269839440908,NA,NA,"rna",49806866,49817376,"-","chr19",3.1988953532e-06
"199","ENSG00000010404","Cytarabine","Lymphoid",-0.4848634172598,NA,NA,"rna",149476988,149521096,"-","chrX",2.35637866e-08
"200","ENSG00000010671","Nvp-tae 684","Lymphoid",-0.454436811963241,NA,NA,"rna",101349447,101390796,"-","chrX",2.35637866e-08
"201","ENSG00000010704","PD-0325901","Lung",0.316538100385119,NA,NA,"rna",26087281,26098343,"+","chr6",0.0008125804327137
"202","ENSG00000010704","Panobinostat","Lung",-0.333601880002114,NA,NA,"rna",26087281,26098343,"+","chr6",2.35637866e-08
"203","ENSG00000010704","Vorinostat","Lung",-0.341326995646806,NA,NA,"rna",26087281,26098343,"+","chr6",2.35637866e-08
"204","ENSG00000010803","Trametinib","Lung",-0.429073074345279,NA,NA,"rna",41027200,41242154,"-","chr1",2.35637866e-08
"205","ENSG00000010810","Daporinad","Lung",0.435921310318592,NA,NA,"rna",111660332,111873452,"-","chr6",2.35637866e-08
"206","ENSG00000010810","Navitoclax","Lung",0.398529656943584,NA,NA,"rna",111660332,111873452,"-","chr6",2.35637866e-08
"207","ENSG00000010810","Panobinostat","Lung",0.297550942443852,NA,NA,"rna",111660332,111873452,"-","chr6",0.0075629946462475
"208","ENSG00000010810","Selumetinib","Lung",-0.384810138082376,NA,NA,"rna",111660332,111873452,"-","chr6",2.35637866e-08
"209","ENSG00000010810","Trametinib","Lung",-0.530608598143617,NA,NA,"rna",111660332,111873452,"-","chr6",2.35637866e-08
"210","ENSG00000010810","Vorinostat","Lung",0.342939655674731,NA,NA,"rna",111660332,111873452,"-","chr6",2.35637866e-08
"211","ENSG00000011007","PD-0325901","Lung",-0.264690420614106,NA,NA,"rna",23743155,23762059,"+","chr1",0.002147508799735
